Place	Bib	Name	First name	Last name	Distance	Time	Lap 1	Lap 2	Lap 3	Difference	% Back	% Winning	% Average	% Median
1	62	Scott Thomson	Scott	Thomson	Full	50:12.5	7:47.8	24:50.1	17:34.6	-	-	100%	23.68%	20.78%
2	88	John King	John	King	Full	52:07.7	8:38.1	25:23.2	18:06.4	+1:55.2	+3.82%	96.32%	20.76%	17.75%
3	47	Ben Hall	Ben	Hall	Full	53:32.5	8:31.7	25:25.8	19:35.1	+3:20.0	+6.64%	93.77%	18.61%	15.52%
4	206	Sam Colman	Sam	Colman	Full	54:45.6	8:58.1	26:15.9	19:31.6	+4:33.1	+9.07%	91.69%	16.76%	13.60%
5	145	Nick O'Reilly	Nick	O'Reilly	Full	55:15.4	9:12.1	27:18.0	18:45.4	+5:02.9	+10.05%	90.86%	16.01%	12.81%
6	60	Jonathan Davies	Jonathan	Davies	Full	55:25.7	8:25.5	28:15.0	18:45.3	+5:13.2	+10.40%	90.58%	15.75%	12.54%
7	31	Christian Andrews	Christian	Andrews	Full	55:38.0	8:01.1	27:06.5	20:30.4	+5:25.5	+10.80%	90.25%	15.43%	12.22%
8	46	Kyle Mooney	Kyle	Mooney	Full	56:02.1	8:30.6	29:11.0	18:20.5	+5:49.6	+11.60%	89.60%	14.82%	11.58%
9	2	Tracy Foyster	Tracy	Foyster	Full	56:49.0	8:54.7	27:36.8	20:17.5	+6:36.5	+13.16%	88.37%	13.64%	10.35%
10	212	Dean Webb	Dean	Webb	Full	57:00.9	9:11.4	27:11.9	20:37.6	+6:48.4	+13.56%	88.06%	13.33%	10.04%
11	58	Debbie Davies	Debbie	Davies	Full	57:15.3	7:51.4	28:48.7	20:35.2	+7:02.8	+14.03%	87.69%	12.97%	9.66%
12	265	Anthony Rushton	Anthony	Rushton	Full	58:42.6	9:00.7	30:39.3	19:02.6	+8:30.1	+16.93%	85.52%	10.76%	7.36%
13	17	Richard Mourant	Richard	Mourant	Full	59:00.7	10:04.8	27:22.3	21:33.7	+8:48.2	+17.53%	85.08%	10.30%	6.89%
14	14	Clive Pearce	Clive	Pearce	Full	59:02.7	10:49.0	27:14.8	20:58.9	+8:50.2	+17.60%	85.03%	10.25%	6.83%
15	39	Vaughan Skelly	Vaughan	Skelly	Full	59:14.3	9:19.4	28:43.4	21:11.6	+9:01.8	+17.99%	84.76%	9.96%	6.53%
16	104	Viv Wright	Viv	Wright	Full	59:16.1	9:15.9	29:11.4	20:48.8	+9:03.6	+18.04%	84.71%	9.91%	6.48%
17	234	Andrew Miller	Andrew	Miller	Full	59:21.6	7:48.6	30:45.6	20:47.4	+9:09.1	+18.23%	84.58%	9.77%	6.34%
18	137	Peter Crowe	Peter	Crowe	Full	59:32.6	8:53.8	29:48.1	20:50.8	+9:20.1	+18.59%	84.32%	9.49%	6.05%
