Place	Bib	Name	First name	Last name	Distance	Time	Lap 1	Lap 2	Lap 3	Difference	% Back	% Winning	% Average	% Median
1	7	Alex Gilks	Alex	Gilks	Full	36:51.0	9:10.8	0:08.6	27:31.6	-	-	100%	42.55%	41.22%
2	34	Simon Bradbery	Simon	Bradbery	Full	41:57.0	9:31.5	25:23.6	7:01.9	+5:06.0	+13.84%	87.84%	34.60%	33.08%
3	182	Sharyn Klein	Sharyn	Klein	Full	48:21.1	9:17.5	33:40.6	5:23.0	+11:30.1	+31.21%	76.21%	24.62%	22.87%
4	86	Warren Copping	Warren	Copping	Full	49:06.8	12:01.0	36:46.4	0:19.5	+12:15.8	+33.28%	75.03%	23.43%	21.65%
5	124	Daniel Bray	Daniel	Bray	Full	50:05.8	7:49.6	25:19.8	16:56.3	+13:14.8	+35.95%	73.56%	21.90%	20.09%
6	157	Ben Courage	Ben	Courage	Full	51:17.1	8:08.4	26:03.5	17:05.2	+14:26.1	+39.17%	71.85%	20.05%	18.19%
7	94	Danny Khazen	Danny	Khazen	Full	53:45.1	9:08.0	26:07.2	18:29.9	+16:54.1	+45.87%	68.56%	16.20%	14.26%
8	159	Simon Harradence	Simon	Harradence	Full	54:31.1	8:11.3	25:27.2	20:52.5	+17:40.1	+47.95%	67.59%	15.00%	13.03%
9	125	Ryan Bray	Ryan	Bray	Full	54:59.5	8:22.7	26:41.0	19:55.8	+18:08.5	+49.23%	67.01%	14.27%	12.28%
10	88	John King	John	King	Full	55:25.3	9:00.8	27:02.1	19:22.4	+18:34.3	+50.40%	66.49%	13.60%	11.59%
11	203	Michelle Miller	Michelle	Miller	Full	57:15.4	9:37.7	28:53.0	18:44.7	+20:24.4	+55.38%	64.36%	10.74%	8.66%
12	265	Anthony Rushton	Anthony	Rushton	Full	57:34.0	12:10.3	26:27.9	18:55.9	+20:43.0	+56.22%	64.01%	10.25%	8.17%
13	2	Tracy Foyster	Tracy	Foyster	Full	57:36.8	8:48.6	29:23.2	19:25.0	+20:45.8	+56.35%	63.96%	10.18%	8.10%
14	14	Clive Pearce	Clive	Pearce	Full	58:21.5	10:50.2	27:12.6	20:18.7	+21:30.5	+58.37%	63.14%	9.02%	6.91%
15	107	Marcel Van Kampen	Marcel	Van Kampen	Full	58:23.8	8:11.8	27:41.8	22:30.1	+21:32.8	+58.47%	63.10%	8.96%	6.85%
16	20	Gerard Robards	Gerard	Robards	Full	58:33.3	10:03.3	26:21.5	22:08.6	+21:42.3	+58.90%	62.93%	8.71%	6.59%
17	198	Aaron Neylan	Aaron	Neylan	Full	58:44.9	9:46.6	28:41.5	20:16.8	+21:53.9	+59.43%	62.73%	8.41%	6.29%
18	104	Viv Wright	Viv	Wright	Full	59:29.4	9:14.3	29:39.9	20:35.2	+22:38.4	+61.44%	61.94%	7.25%	5.10%
19	30	Alex Torrance	Alex	Torrance	Full	59:34.0	8:53.3	28:26.3	22:14.4	+22:43.0	+61.65%	61.86%	7.13%	4.98%
20	72	Rob Worth	Rob	Worth	Full	59:44.3	11:59.8	26:46.3	20:58.3	+22:53.3	+62.11%	61.69%	6.87%	4.71%
